interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;3600.00;measure_1;0;;0;0;509844701;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;509844702;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;51008380#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;51008380#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.03;0;1;51008390#0;0;0;0.03;1;0.01;7.14;7.14;11.40;1.92;6.32;0.00
0.00;3600.00;measure_1;0;0.10;1;0;51008390#2;0;0;0.10;1;0.03;4.10;2.23;2.73;0.70;2.40;0.00
0.00;3600.00;measure_1;0;0.04;0;1;51008395;0;0;0.04;1;0.02;6.72;6.72;8.47;2.48;5.54;0.00
0.00;3600.00;measure_1;1;0.06;1;1;51008405#0;0;0;0.06;1;0.03;14.29;28.06;9.95;6.66;13.11;0.00
0.00;3600.00;measure_1;0;;0;0;51008405#3;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;51008409;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;51008426#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;51008426#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.16;2;0;51008439;0;0;0.16;2;0.07;5.98;8.95;3.39;4.97;4.55;0.00
0.00;3600.00;measure_1;0;0.07;1;0;51008440#0;0;0;0.07;1;0.03;5.05;3.70;3.78;2.01;4.48;0.00
0.00;3600.00;measure_1;0;;0;0;51008440#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;51008442#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.12;0;1;51008442#1;0;0;0.12;1;0.03;2.72;2.72;4.21;1.23;1.21;0.00
0.00;3600.00;measure_1;0;0.31;0;1;51008443#0;0;0;0.31;1;0.03;1.18;1.18;5.14;0.72;0.32;0.00
0.00;3600.00;measure_1;0;0.13;0;1;51008443#1;0;0;0.13;1;0.03;2.34;2.34;4.19;0.87;0.86;0.00
0.00;3600.00;measure_1;0;;0;0;51008445;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;51009388#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;51009388#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;51009389;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;1;0.05;0;1;510485775#1;0;0;0.05;0;0.01;0.57;0.57;14.79;0.03;0.24;0.00
0.00;3600.00;measure_1;1;0.05;0;2;510485775#2;0;0;0.05;1;0.02;2.76;5.09;11.52;1.30;2.36;0.00
0.00;3600.00;measure_1;0;2.42;1;175;510840991#0;0;0;2.42;174;1.20;23.67;4129.07;20.26;345.79;23.42;0.00
0.00;3600.00;measure_1;0;133.33;0;440;510840992#0;0;0;133.33;440;11.55;0.98;432.09;5.30;208.79;0.04;27.00
0.00;3600.00;measure_1;0;7.31;2;267;510840992#1;0;0;7.31;268;3.53;17.67;4739.27;10.48;965.05;16.99;0.00
0.00;3600.00;measure_1;0;14.45;0;157;510841455#0;0;0;14.45;157;6.21;7.79;1222.82;3.66;848.95;6.69;2.00
0.00;3600.00;measure_1;0;0.04;0;1;51086731;0;0;0.04;1;0.02;7.22;7.22;8.37;2.28;5.74;0.00
0.00;3600.00;measure_1;0;;0;0;51086736#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.04;1;0;51086736#2;0;0;0.04;1;0.02;10.45;9.69;6.69;4.69;9.08;0.00
0.00;3600.00;measure_1;0;0.13;1;0;51143365#0;0;0;0.13;1;0.03;2.55;1.55;3.22;0.72;;0.00
0.00;3600.00;measure_1;0;;0;0;51143365#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;51143366;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.24;0;1;51143367;0;0;0.24;1;0.05;2.44;2.44;3.19;0.63;0.66;0.00
0.00;3600.00;measure_1;0;;0;0;51143370;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;511552926#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.05;0;1;511552926#11;0;0;0.05;1;0.02;7.80;7.80;6.79;1.84;7.17;0.00
