interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;3600.00;measure_1;0;0.02;0;1;-100444340;0;0;0.02;1;0.01;69.61;69.61;13.82;5.07;68.27;0.00
0.00;3600.00;measure_1;0;0.06;1;0;-100638263;0;0;0.06;1;0.03;7.05;6.03;5.00;3.49;6.05;0.00
0.00;3600.00;measure_1;0;;0;0;-101453737#2;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;43;2.34;1;43;-101552351#0;0;0;2.34;1;0.88;3.44;144.82;6.45;40.39;2.80;0.00
0.00;3600.00;measure_1;0;3.81;0;43;-101552351#1;0;0;3.81;43;1.37;3.77;162.14;4.46;76.26;2.51;0.00
0.00;3600.00;measure_1;0;0.15;0;4;-10158749#0;0;0;0.15;4;0.07;4.52;18.09;8.49;5.05;3.78;0.00
0.00;3600.00;measure_1;0;0.12;0;4;-10158749#1;0;0;0.12;4;0.05;2.21;8.82;11.68;0.91;1.80;0.00
0.00;3600.00;measure_1;0;0.06;1;1;-10158749#11;0;0;0.06;2;0.03;12.43;24.34;9.90;7.95;11.47;0.00
0.00;3600.00;measure_1;0;0.25;0;4;-10158749#2;0;0;0.25;4;0.09;2.12;8.47;6.83;4.03;1.47;0.00
0.00;3600.00;measure_1;0;0.09;0;3;-10158749#3;0;0;0.09;3;0.04;1.97;5.90;11.76;0.26;1.53;0.00
0.00;3600.00;measure_1;0;0.09;0;3;-10158749#4;0;0;0.09;3;0.04;3.17;9.51;11.05;0.97;2.73;0.00
0.00;3600.00;measure_1;0;0.05;1;1;-10158749#7;0;0;0.05;2;0.03;14.78;29.09;10.91;4.91;14.38;0.00
0.00;3600.00;measure_1;0;0.02;0;1;-10158749#9;0;0;0.02;1;0.01;9.17;9.17;12.55;1.54;8.52;0.00
0.00;3600.00;measure_1;1;2.23;1;85;-10159349#1;0;0;2.23;84;1.09;26.51;2266.01;10.83;405.02;25.60;43.00
0.00;3600.00;measure_1;1;0.14;0;6;-10159423#0;0;0;0.14;5;0.06;6.09;36.56;12.94;2.04;5.70;0.00
0.00;3600.00;measure_1;0;2.18;0;58;-10159423#1;0;0;2.18;57;0.92;4.36;249.55;8.42;69.94;3.64;0.00
0.00;3600.00;measure_1;0;0.38;0;16;-10159589#1;0;0;0.38;16;0.18;7.65;122.40;12.48;8.67;7.25;0.00
0.00;3600.00;measure_1;0;0.05;0;1;-10159674#1;0;0;0.05;1;0.02;3.39;3.39;7.30;0.73;2.47;0.00
0.00;3600.00;measure_1;0;0.03;0;1;-10159674#2;0;0;0.03;1;0.01;7.70;7.70;11.73;0.84;7.28;0.00
0.00;3600.00;measure_1;0;0.05;1;0;-10159699;0;0;0.05;1;0.02;5.95;5.06;5.73;3.15;5.38;0.00
0.00;3600.00;measure_1;0;0.18;0;6;-10159855#0;0;0;0.18;6;0.08;8.09;48.53;10.04;11.15;7.37;0.00
0.00;3600.00;measure_1;1;0.11;0;4;-10159855#1;0;0;0.11;3;0.05;6.25;24.93;10.67;5.23;5.79;0.00
0.00;3600.00;measure_1;0;0.04;0;1;-10159906#1;0;0;0.04;1;0.02;6.80;6.80;8.56;2.15;6.10;0.00
0.00;3600.00;measure_1;0;0.04;0;2;-10159906#10;0;0;0.04;2;0.02;14.41;28.83;13.05;2.33;14.05;0.00
0.00;3600.00;measure_1;0;0.21;1;0;-10159906#11;0;0;0.21;1;0.04;2.35;1.64;3.05;1.30;;0.00
0.00;3600.00;measure_1;0;;0;0;-10159906#2;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.05;0;2;-10159906#6;0;0;0.05;2;0.02;6.23;12.46;11.68;1.28;5.55;0.00
0.00;3600.00;measure_1;0;;0;0;-10159950;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.98;0;33;-10160219#0;0;0;0.98;33;0.46;10.39;342.81;9.88;80.06;9.55;0.00
0.00;3600.00;measure_1;0;0.87;0;33;-10160219#1;0;0;0.87;33;0.39;4.44;146.53;11.63;17.86;4.00;0.00
0.00;3600.00;measure_1;0;0.82;0;33;-10160325;0;0;0.82;33;0.39;11.09;365.95;11.66;45.19;10.66;0.00
0.00;3600.00;measure_1;0;0.10;6;0;-10160480#6;0;0;0.10;0;0.05;41.07;114.00;7.69;11.91;40.42;0.00
0.00;3600.00;measure_1;0;0.02;1;0;-10160613#3;0;0;0.02;1;0.01;20.42;19.96;11.20;4.42;19.82;0.00
0.00;3600.00;measure_1;0;;0;0;-10160671;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10160792#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10161011#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10161011#2;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;8.61;0;152;-101906724#1;0;0;8.61;152;4.25;49.60;7539.61;5.00;4657.95;48.64;902.00
0.00;3600.00;measure_1;0;3.96;0;154;-101906724#2;0;0;3.96;153;1.87;7.71;1185.51;11.43;149.68;7.26;0.00
0.00;3600.00;measure_1;0;2.91;0;204;-101906728;0;0;2.91;198;1.44;30.96;6152.83;19.16;782.27;30.64;0.00
0.00;3600.00;measure_1;0;21.09;0;416;-10231352#3;0;0;21.09;416;10.47;66.65;19962.37;4.02;16308.47;65.92;10999.00
0.00;3600.00;measure_1;0;6.24;0;416;-10231352#5;0;0;6.24;416;2.94;4.38;1823.64;19.65;201.06;4.14;0.00
0.00;3600.00;measure_1;0;;0;0;-10237648#2;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.05;0;2;-10237816;0;0;0.05;2;0.03;10.27;20.55;10.74;4.81;9.52;0.00
0.00;3600.00;measure_1;0;;0;0;-10237985#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10237985#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.03;0;1;-10238288;0;0;0.03;1;0.01;10.70;10.70;9.45;3.81;9.98;0.00
0.00;3600.00;measure_1;18;0.63;0;28;-10238741#1;0;0;0.63;6;0.30;22.85;601.41;11.88;83.60;22.38;0.00
0.00;3600.00;measure_1;0;0.06;1;0;-10238945#0;0;0;0.06;1;0.03;5.01;3.82;4.27;2.70;4.54;0.00
0.00;3600.00;measure_1;0;;0;0;-10238945#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.12;0;3;-10243865#0;0;0;0.12;3;0.05;5.01;15.04;7.70;5.14;4.30;0.00
0.00;3600.00;measure_1;0;;0;0;-10243865#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.11;1;2;-10243940#0;0;0;0.11;3;0.05;6.47;18.75;7.80;6.46;5.65;0.00
0.00;3600.00;measure_1;0;0.03;1;0;-10243940#3;0;0;0.03;1;0.02;12.47;11.90;9.00;3.04;12.06;0.00
0.00;3600.00;measure_1;0;0.03;0;1;-10243964;0;0;0.03;1;0.02;9.68;9.68;8.72;3.97;9.04;0.00
0.00;3600.00;measure_1;0;0.04;1;0;-10244365#1;0;0;0.04;1;0.02;11.63;10.97;7.78;5.31;10.74;0.00
0.00;3600.00;measure_1;0;;0;0;-10244365#3;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10244395;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-102481670#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-102481677;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10259843#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.04;0;1;-10259848;0;0;0.04;1;0.02;13.37;13.37;6.70;2.02;11.29;0.00
0.00;3600.00;measure_1;0;0.05;0;1;-10259868#6;0;0;0.05;1;0.02;5.61;5.61;6.67;1.78;4.65;0.00
0.00;3600.00;measure_1;0;0.13;0;1;-10259868#9;0;0;0.13;1;0.03;1.98;1.98;4.66;0.38;1.01;0.00
0.00;3600.00;measure_1;0;0.05;1;0;-10259913#12;0;0;0.05;1;0.02;11.18;10.26;5.53;4.90;9.09;0.00
0.00;3600.00;measure_1;0;0.10;0;4;-10260001#1;0;0;0.10;4;0.05;18.63;74.52;11.62;13.21;17.68;0.00
0.00;3600.00;measure_1;0;0.03;0;1;-10260001#2;0;0;0.03;1;0.01;6.96;6.96;10.38;2.22;6.62;0.00
0.00;3600.00;measure_1;1;0.02;0;1;-10260001#3;0;0;0.02;0;0.01;27.74;27.74;12.67;1.44;27.35;0.00
0.00;3600.00;measure_1;0;0.02;0;1;-10260001#4;0;0;0.02;1;0.01;29.53;29.53;12.72;1.41;29.12;0.00
0.00;3600.00;measure_1;0;0.06;1;1;-10262806#0;0;0;0.06;2;0.03;12.66;24.78;9.23;7.17;11.92;0.00
0.00;3600.00;measure_1;0;0.03;0;1;-10262806#1;0;0;0.03;1;0.01;10.25;10.25;9.75;1.40;9.36;0.00
0.00;3600.00;measure_1;0;;0;0;-10262844#4;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10262844#5;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.03;0;1;-10262954#3;0;0;0.03;1;0.01;24.28;24.28;10.63;3.31;23.87;0.00
0.00;3600.00;measure_1;0;;0;0;-10262979;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.05;0;2;-10267096#0;0;0;0.05;2;0.02;5.66;11.33;13.04;3.14;4.93;0.00
0.00;3600.00;measure_1;0;0.03;0;2;-10267096#1;0;0;0.03;2;0.01;3.17;6.35;20.16;0.63;2.95;0.00
0.00;3600.00;measure_1;0;0.04;0;2;-10267096#2;0;0;0.04;2;0.02;1.22;2.43;17.92;0.09;0.93;0.00
0.00;3600.00;measure_1;0;0.03;0;2;-10267096#3;0;0;0.03;2;0.01;1.51;3.03;21.79;0.08;1.28;0.00
0.00;3600.00;measure_1;0;0.09;1;2;-10267096#5;0;0;0.09;3;0.04;6.43;18.74;9.43;9.74;4.95;0.00
0.00;3600.00;measure_1;0;0.06;0;2;-10267096#6;0;0;0.06;2;0.02;3.03;6.06;11.24;3.02;2.68;0.00
0.00;3600.00;measure_1;0;3.54;0;146;-10267102#0;0;0;3.54;135;1.75;41.88;5888.83;11.17;867.85;41.36;0.00
0.00;3600.00;measure_1;0;3.51;110;44;-10267102#1;0;0;3.51;151;1.74;27.83;4076.08;11.76;406.88;27.37;0.00
0.00;3600.00;measure_1;0;0.28;0;11;-10267131#2;0;0;0.28;10;0.14;37.17;408.38;11.04;53.20;36.26;17.00
0.00;3600.00;measure_1;0;0.26;0;7;-10267131#3;0;0;0.26;7;0.11;4.09;28.66;8.70;8.63;3.44;0.00
0.00;3600.00;measure_1;0;0.24;0;7;-10267131#4;0;0;0.24;7;0.11;5.90;41.32;9.07;11.24;5.18;0.00
0.00;3600.00;measure_1;0;0.30;0;7;-10267131#5;0;0;0.30;7;0.13;5.52;38.61;7.35;15.82;4.82;0.00
0.00;3600.00;measure_1;0;0.39;0;9;-10267158#0;0;0;0.39;9;0.16;3.44;30.99;7.82;8.26;2.64;0.00
0.00;3600.00;measure_1;0;0.29;1;8;-10267158#2;0;0;0.29;9;0.13;6.40;57.09;9.34;16.00;5.77;0.00
0.00;3600.00;measure_1;0;0.28;0;8;-10267158#3;0;0;0.28;8;0.12;5.02;40.13;9.05;11.77;4.34;0.00
0.00;3600.00;measure_1;0;0.29;0;8;-10267158#4;0;0;0.29;8;0.13;5.97;47.73;8.51;16.02;5.32;0.00
0.00;3600.00;measure_1;0;12.28;0;137;-10267549;0;0;12.28;129;5.67;18.28;2428.30;3.28;1789.90;17.35;1044.00
0.00;3600.00;measure_1;0;0.15;0;4;-10270080;0;0;0.15;4;0.06;5.90;23.59;8.40;6.94;5.05;0.00
0.00;3600.00;measure_1;0;;0;0;-10270094;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.02;1;0;-10270111;0;0;0.02;1;0.01;32.00;31.55;11.54;4.58;31.15;0.00
0.00;3600.00;measure_1;0;0.63;0;23;-10270121#0;0;0;0.63;23;0.30;11.19;257.17;10.52;33.31;10.32;0.00
0.00;3600.00;measure_1;0;0.94;0;23;-10270121#1;0;0;0.94;23;0.40;4.88;112.28;7.81;44.36;4.21;0.00
0.00;3600.00;measure_1;0;0.32;0;6;-10270121#2;0;0;0.32;6;0.13;3.05;18.33;6.86;7.25;2.27;0.00
0.00;3600.00;measure_1;0;0.14;0;5;-10270121#3;0;0;0.14;5;0.06;11.49;57.45;10.66;10.62;10.83;0.00
0.00;3600.00;measure_1;0;0.09;0;2;-10270121#5;0;0;0.09;2;0.04;4.50;9.00;7.46;3.49;3.88;0.00
0.00;3600.00;measure_1;0;0.81;0;24;-10270128#0;0;0;0.81;24;0.36;6.03;144.76;9.01;33.91;5.17;0.00
0.00;3600.00;measure_1;0;0.82;0;25;-10270128#1;0;0;0.82;25;0.37;6.93;173.35;9.23;50.63;6.22;0.00
0.00;3600.00;measure_1;0;0.19;0;4;-10270399#1;0;0;0.19;4;0.09;27.14;108.56;6.10;59.28;25.71;43.00
0.00;3600.00;measure_1;0;0.11;0;4;-10270399#2;0;0;0.11;4;0.05;15.10;60.41;10.82;12.27;14.38;0.00
0.00;3600.00;measure_1;0;;0;0;-10270399#3;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10270399#4;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10270422;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;2;0.06;0;2;-10275640;0;0;0.06;0;0.03;8.22;16.45;10.48;5.09;7.88;0.00
0.00;3600.00;measure_1;0;;0;0;-10275648;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.04;0;2;-10275696;0;0;0.04;2;0.02;17.95;35.91;13.12;2.73;17.58;0.00
0.00;3600.00;measure_1;0;0.02;0;1;-10275950#0;0;0;0.02;1;0.01;2.99;2.99;13.86;0.09;2.64;0.00
0.00;3600.00;measure_1;0;0.03;0;1;-10275950#2;0;0;0.03;1;0.01;7.45;7.45;9.10;2.70;7.08;0.00
0.00;3600.00;measure_1;0;0.16;1;5;-10297764#2;0;0;0.16;6;0.08;10.67;63.56;10.85;13.21;9.95;0.00
0.00;3600.00;measure_1;0;;0;0;-10297765#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;1;0.70;0;4;-10297766#0;0;0;0.70;3;0.33;22.56;90.23;1.81;77.84;21.28;62.00
0.00;3600.00;measure_1;0;;0;0;-10297766#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.06;0;2;-10297768;0;0;0.06;2;0.03;10.24;20.48;9.90;5.63;9.51;0.00
0.00;3600.00;measure_1;0;;0;0;-10297769;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;1;0.02;0;1;-10297770#1;0;0;0.02;0;0.01;4.91;4.91;12.31;0.24;4.51;0.00
0.00;3600.00;measure_1;1;0.05;0;2;-10297770#2;0;0;0.05;1;0.02;3.83;7.66;13.10;0.25;3.44;0.00
0.00;3600.00;measure_1;0;0.05;0;2;-10297770#3;0;0;0.05;2;0.02;4.11;8.22;13.02;0.31;3.73;0.00
0.00;3600.00;measure_1;0;0.05;0;2;-10297770#4;0;0;0.05;2;0.02;4.87;9.74;12.76;0.56;4.47;0.00
0.00;3600.00;measure_1;0;0.05;0;2;-10297770#6;0;0;0.05;2;0.02;5.04;10.09;12.84;0.52;4.65;0.00
0.00;3600.00;measure_1;0;0.15;1;4;-10297770#8;0;0;0.15;5;0.07;5.92;29.10;9.97;7.22;5.16;0.00
0.00;3600.00;measure_1;0;96.09;1;162;-10298183#1;0;0;96.09;133;47.93;507.85;74330.78;0.43;72777.71;505.51;59877.00
0.00;3600.00;measure_1;0;93.64;0;189;-10298183#3;0;0;93.64;160;46.72;463.64;78518.27;0.51;76690.17;461.96;65042.00
0.00;3600.00;measure_1;16;91.51;0;210;-10298183#4;0;0;91.51;191;44.36;76.39;15417.71;0.68;14943.00;75.55;13409.00
0.00;3600.00;measure_1;0;;0;0;-10304747;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.11;1;2;-10304765#0;0;0;0.11;3;0.05;7.87;22.96;7.78;9.71;7.05;0.00
0.00;3600.00;measure_1;0;0.03;0;1;-10304765#1;0;0;0.03;1;0.01;6.38;6.38;9.01;2.44;6.03;0.00
0.00;3600.00;measure_1;0;;0;0;-10304767;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10304801#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10304902;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10304910#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10304915;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10304929;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.15;0;4;-10305001#1;0;0;0.15;4;0.07;15.07;60.27;7.95;25.60;13.83;12.00
0.00;3600.00;measure_1;0;0.11;0;3;-10305001#2;0;0;0.11;3;0.05;4.99;14.97;8.29;6.36;4.61;0.00
0.00;3600.00;measure_1;0;;0;0;-10305001#5;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10305009;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10305079;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.06;0;2;-10305464#0;0;0;0.06;2;0.03;6.61;13.23;9.94;2.15;5.79;0.00
0.00;3600.00;measure_1;8;0.25;0;10;-10305464#1;0;0;0.25;2;0.12;16.29;162.58;11.42;28.15;15.91;0.00
0.00;3600.00;measure_1;0;;0;0;-10305466;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.02;0;1;-10305488#3;0;0;0.02;1;0.01;15.45;15.45;12.21;1.22;14.70;0.00
0.00;3600.00;measure_1;0;0.02;0;1;-10305488#6;0;0;0.02;1;0.01;10.46;10.46;13.36;0.50;10.09;0.00
0.00;3600.00;measure_1;0;;0;0;-10305492#2;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;1.90;0;43;-10305508#1;0;0;1.90;43;0.91;22.53;968.95;6.52;246.59;21.66;21.00
0.00;3600.00;measure_1;0;1.74;0;43;-10305508#2;0;0;1.74;43;0.82;11.32;486.76;7.32;84.99;10.63;0.00
0.00;3600.00;measure_1;0;1.88;1;43;-10305508#3;0;0;1.88;44;0.83;5.94;260.62;7.32;46.17;5.26;0.00
0.00;3600.00;measure_1;0;1.96;1;48;-10305508#4;0;0;1.96;49;0.93;14.57;713.43;7.28;124.91;13.64;9.00
0.00;3600.00;measure_1;0;5.88;14;182;-10305517#0;0;0;5.88;195;2.79;12.72;2146.98;8.37;1204.08;11.66;234.00
0.00;3600.00;measure_1;1;2.92;0;182;-10305517#1;0;0;2.92;181;1.33;2.92;532.19;19.03;78.50;2.67;0.00
0.00;3600.00;measure_1;0;3.03;1;179;-10305517#3;0;0;3.03;180;1.34;2.30;414.49;18.66;68.50;2.04;0.00
0.00;3600.00;measure_1;0;2.89;0;178;-10305517#5;0;0;2.89;178;1.30;2.74;487.78;18.92;75.02;2.48;0.00
0.00;3600.00;measure_1;1;3.76;0;179;-10305517#7;0;0;3.76;178;1.66;2.99;534.25;14.91;178.17;2.70;0.00
0.00;3600.00;measure_1;0;0.05;0;1;-10305795#1;0;0;0.05;1;0.02;19.57;19.57;5.43;10.95;17.00;5.00
0.00;3600.00;measure_1;0;0.05;0;1;-10305824;0;0;0.05;1;0.02;7.38;7.38;6.72;2.62;6.32;0.00
0.00;3600.00;measure_1;1;13.50;0;252;-10306081#1;0;0;13.50;251;6.35;11.90;2998.69;5.60;1149.47;11.19;268.00
0.00;3600.00;measure_1;0;13.49;0;252;-10306081#2;0;0;13.49;252;5.21;3.09;779.01;6.81;184.34;2.38;28.00
0.00;3600.00;measure_1;0;0.56;0;20;-10306099#4;0;0;0.56;20;0.27;21.16;423.22;10.13;91.87;20.24;31.00
0.00;3600.00;measure_1;0;0.46;0;20;-10306099#7;0;0;0.46;20;0.23;20.82;416.49;12.20;26.91;20.42;0.00
0.00;3600.00;measure_1;0;0.47;1;18;-10306099#8;0;0;0.47;19;0.22;5.12;96.79;12.12;7.20;4.71;0.00
0.00;3600.00;measure_1;0;2.80;0;63;-10306516#2;0;0;2.80;63;1.34;17.41;1096.55;6.54;555.53;16.30;326.00
0.00;3600.00;measure_1;22;16.35;0;22;-10306618#0;0;0;16.35;0;0.31;1.08;11.77;4.82;7.56;0.04;0.00
0.00;3600.00;measure_1;0;0.87;0;1;-10306618#1;0;0;0.87;1;0.02;0.62;0.62;8.33;0.30;0.02;0.00
0.00;3600.00;measure_1;0;0.03;0;1;-10306618#2;0;0;0.03;1;0.01;8.59;8.59;10.66;2.88;8.20;0.00
0.00;3600.00;measure_1;0;30.61;0;21;-10306621;0;0;30.61;21;0.59;1.05;22.04;4.96;3.40;0.04;0.00
0.00;3600.00;measure_1;0;0.06;0;2;-10306651#0;0;0;0.06;2;0.03;16.01;32.01;9.89;4.97;14.45;0.00
0.00;3600.00;measure_1;0;6.80;0;5;-10306651#1;0;0;6.80;5;0.13;0.98;4.89;5.31;2.24;0.04;0.00
0.00;3600.00;measure_1;0;0.22;0;9;-10306651#2;0;0;0.22;9;0.10;16.91;152.16;11.70;19.99;15.88;1.00
0.00;3600.00;measure_1;0;0.10;1;1;-10306662;0;0;0.10;2;0.04;5.47;10.09;6.02;4.61;4.54;0.00
0.00;3600.00;measure_1;0;2.82;0;94;-10306731#0;0;0;2.82;94;1.30;7.88;741.17;9.88;150.40;6.98;5.00
0.00;3600.00;measure_1;0;2.23;0;94;-10306731#2;0;0;2.23;94;1.06;12.30;1155.92;12.13;128.34;11.91;0.00
0.00;3600.00;measure_1;0;;0;0;-10306732;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.06;0;2;-10306744#0;0;0;0.06;2;0.03;7.63;15.27;9.84;2.42;6.81;0.00
0.00;3600.00;measure_1;0;;0;0;-10306746;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.23;1;9;-10306764#2;0;0;0.23;10;0.11;21.96;219.18;12.18;17.72;21.37;0.00
0.00;3600.00;measure_1;0;0.14;0;6;-10306764#4;0;0;0.14;6;0.07;4.90;29.42;12.73;2.70;4.53;0.00
0.00;3600.00;measure_1;0;0.11;0;5;-10306764#5;0;0;0.11;5;0.05;8.32;41.59;12.70;4.04;7.95;0.00
0.00;3600.00;measure_1;0;0.10;2;2;-10306764#6;0;0;0.10;4;0.05;22.18;87.84;11.31;16.84;21.51;0.00
0.00;3600.00;measure_1;0;;0;0;-10306764#8;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.02;1;0;-10306775#2;0;0;0.02;1;0.01;33.67;33.22;11.51;4.99;32.92;0.00
0.00;3600.00;measure_1;2;3.50;0;10;-10311095#0;0;0;3.50;8;1.71;43.04;424.69;0.90;394.01;41.56;367.00
0.00;3600.00;measure_1;0;0.11;0;4;-10311095#1;0;0;0.11;4;0.05;7.48;29.93;11.08;5.73;6.82;0.00
0.00;3600.00;measure_1;0;0.13;0;4;-10311095#2;0;0;0.13;4;0.06;3.90;15.59;9.55;3.50;3.18;0.00
0.00;3600.00;measure_1;0;0.03;1;0;-10311095#3;0;0;0.03;1;0.01;12.46;11.96;10.26;3.03;12.09;0.00
0.00;3600.00;measure_1;0;;0;0;-10311095#4;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;1;0.15;0;5;-10311124#0;0;0;0.15;4;0.07;6.60;33.01;10.02;8.60;5.81;0.00
0.00;3600.00;measure_1;0;0.13;1;1;-10311124#1;0;0;0.13;2;0.05;3.09;5.21;5.23;3.13;2.44;0.00
0.00;3600.00;measure_1;0;0.14;0;5;-10311259#1;0;0;0.14;5;0.07;17.84;89.18;9.92;22.45;16.49;5.00
0.00;3600.00;measure_1;0;0.08;0;3;-10357370#0;0;0;0.08;3;0.04;9.64;28.93;10.87;6.49;8.92;0.00
0.00;3600.00;measure_1;0;0.05;0;2;-10357370#1;0;0;0.05;2;0.02;3.75;7.50;12.17;1.18;3.39;0.00
0.00;3600.00;measure_1;0;0.03;1;0;-10357370#2;0;0;0.03;1;0.01;19.36;18.88;10.57;5.11;18.80;0.00
0.00;3600.00;measure_1;0;0.03;0;1;-10357376#0;0;0;0.03;1;0.01;5.82;5.82;11.40;0.89;5.16;0.00
0.00;3600.00;measure_1;0;;0;0;-10357376#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;-10357376#2;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.10;1;2;-10357411#0;0;0;0.10;3;0.05;9.54;28.03;8.64;8.55;8.82;0.00
0.00;3600.00;measure_1;0;0.03;0;1;-10357411#1;0;0;0.03;1;0.01;5.56;5.56;11.13;1.15;5.19;0.00
0.00;3600.00;measure_1;0;;0;0;-10357411#2;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.07;0;3;-10357412#0;0;0;0.07;3;0.03;11.20;33.61;12.25;4.92;10.55;0.00
0.00;3600.00;measure_1;0;0.06;0;3;-10357412#1;0;0;0.06;3;0.03;11.66;34.97;13.81;1.31;11.31;0.00
0.00;3600.00;measure_1;0;0.07;0;3;-10357412#2;0;0;0.07;3;0.03;4.30;12.91;12.83;1.37;3.94;0.00
0.00;3600.00;measure_1;0;6.93;0;289;-103598245#0;0;0;6.93;289;3.33;11.32;3272.51;12.03;997.23;10.84;0.00
0.00;3600.00;measure_1;0;5.62;0;337;-103598245#1;0;0;5.62;337;2.77;26.93;7705.71;14.33;1475.25;26.55;0.00
0.00;3600.00;measure_1;0;0.03;1;0;-10417843;0;0;0.03;1;0.01;34.54;34.02;9.71;5.37;33.81;0.00
0.00;3600.00;measure_1;0;0.46;0;22;-10425127#1;0;0;0.46;22;0.20;2.53;55.63;15.39;11.82;2.18;0.00
0.00;3600.00;measure_1;0;0.29;0;10;-10425286#0;0;0;0.29;10;0.12;3.52;35.25;10.96;13.02;2.89;0.00
0.00;3600.00;measure_1;0;1.58;0;9;-10425286#1;0;0;1.58;9;0.14;0.66;5.92;9.18;3.54;0.12;0.00
0.00;3600.00;measure_1;0;0.85;0;22;-10426284#0;0;0;0.85;22;0.36;4.60;101.26;8.30;25.12;3.74;0.00
0.00;3600.00;measure_1;0;0.61;0;21;-10426284#2;0;0;0.61;21;0.28;7.12;149.56;10.22;33.78;6.46;0.00
0.00;3600.00;measure_1;0;0.71;0;21;-10426284#3;0;0;0.71;21;0.32;5.45;114.38;9.15;35.06;4.78;0.00
0.00;3600.00;measure_1;0;0.61;0;16;-10426284#5;0;0;0.61;16;0.26;4.02;64.28;8.50;22.20;3.34;0.00
0.00;3600.00;measure_1;0;0.35;0;15;-10426284#6;0;0;0.35;15;0.17;12.82;192.28;12.18;11.97;12.41;0.00
0.00;3600.00;measure_1;0;0.28;0;9;-10426284#7;0;0;0.28;9;0.13;7.64;68.78;9.73;15.43;6.94;0.00
0.00;3600.00;measure_1;0;0.21;0;8;-10426284#8;0;0;0.21;8;0.10;15.31;122.45;10.86;16.16;14.60;0.00
0.00;3600.00;measure_1;0;0.17;0;6;-10426300#0;0;0;0.17;6;0.08;7.97;47.80;10.35;10.69;7.36;0.00
